customer_id,coupon_code,city
5182,BLACKFRIDAY50,Edmonton
5890,,Montreal
3978,SAVE10,OTTAWA
1076,HOLIDAY25,CALGARY
3021,BLACKFRIDAY50,CALGARY
3730,SAVE10,
5694,HOLIDAY25,OTTAWA
4319,,CALGARY
4159,SAVE10,OTTAWA
7287,HOLIDAY25,OTTAWA
3653,WELCOME5,Montreal
9449,WELCOME5,OTTAWA
6926,,Edmonton
2890,,Montreal
9616,BLACKFRIDAY50,
8611,HOLIDAY25,TORONTO
8283,,Edmonton
5227,HOLIDAY25,CALGARY
1163,,CALGARY
3798,BLACKFRIDAY50,OTTAWA
2987,WELCOME5,Montreal
7875,,Edmonton
2845,HOLIDAY25,OTTAWA
4038,BLACKFRIDAY50,
1401,WELCOME5,
8480,HOLIDAY25,Montreal
9178,HOLIDAY25,Vancouver
5431,BLACKFRIDAY50,TORONTO
7818,,CALGARY
9444,,Edmonton
3715,WELCOME5,Montreal
5799,,OTTAWA
1016,WELCOME5,OTTAWA
6977,SAVE10,Edmonton
5962,BLACKFRIDAY50,Montreal
1750,WELCOME5,CALGARY
4170,WELCOME5,Vancouver
1301,WELCOME5,Montreal
8304,SAVE10,Edmonton
4891,HOLIDAY25,
8701,,OTTAWA
2218,WELCOME5,Montreal
3370,BLACKFRIDAY50,Edmonton
3853,WELCOME5,Vancouver
8808,,TORONTO
4722,,
1839,SAVE10,CALGARY
9101,BLACKFRIDAY50,OTTAWA
2130,BLACKFRIDAY50,OTTAWA
2455,HOLIDAY25,Edmonton
9082,WELCOME5,Montreal
2971,SAVE10,
1511,WELCOME5,CALGARY
9561,SAVE10,CALGARY
6603,SAVE10,TORONTO
5777,HOLIDAY25,
3840,HOLIDAY25,OTTAWA
8648,BLACKFRIDAY50,Edmonton
2138,HOLIDAY25,
5844,,OTTAWA
2834,BLACKFRIDAY50,Edmonton
6209,,
5277,WELCOME5,Vancouver
1182,WELCOME5,
3391,BLACKFRIDAY50,Montreal
5401,SAVE10,Edmonton
6711,,
5924,WELCOME5,TORONTO
